items,item_type,esdc_domain,edit_type,edit_reason,LMIC_Label,March_4_add,edit_type_software
Planters,Tools and technology,Tools and technology,Tools and technology,,Planters,0,Tools and technology
Plasma cutters,Tools and technology,Tools and technology,Tools and technology,,Plasma cutters,0,Tools and technology
Plaster knives,Tools and Equipment,,Tools and technology,,Plaster knives,1,Tools and technology
Platform lifts,Tools and technology,Tools and technology,Tools and technology,,Platform lifts,0,Tools and technology
Play structures,Tools and technology,Tools and technology,Tools and technology,,Play structures,0,Tools and technology
Playing cards,Tools and technology,Tools and technology,Tools and technology,,Playing cards,0,Tools and technology
Plotters,Tools and technology,Tools and technology,Tools and technology,,Plotters,0,Tools and technology
Plug gauges,Tools and technology,Tools and technology,Tools and technology,,Plug gauges,0,Tools and technology
Plumb bobs,Tools and technology,Tools and technology,Tools and technology,,Plumb bobs,0,Tools and technology
Plunger lifts,Tools and technology,Tools and technology,Tools and technology,,Plunger lifts,0,Tools and technology
Plungers,Tools and technology,Tools and technology,Tools and technology,,Plungers,0,Tools and technology
Pneumatic nailers,Tools and technology,Tools and technology,Tools and technology,,Pneumatic nailers,0,Tools and technology
Pneumatic tampers,Tools and technology,Tools and technology,Tools and technology,,Pneumatic tampers,0,Tools and technology
Pneumatics systems,Tools and technology,Tools and technology,Tools and technology,,Pneumatics systems,0,Tools and technology
Point of sale POS bookstore software,Tools and technology,Tools and technology,Tools and technology,,Point of sale POS systems and software,0,Tech - Software
Point of sale POS software,Tools and technology,Tools and technology,Tools and technology,,Point of sale POS systems and software,0,Tech - Software
Point of sale POS systems,Tools and technology,Tools and technology,Tools and technology,,Point of sale POS systems and software,0,Tech - Software
Poker tables,Tools and technology,Tools and technology,Tools and technology,,Poker tables,0,Tools and technology
Pole saws,Tools and technology,Tools and technology,Tools and technology,,Pole saws,0,Tools and technology
Polishing machines,Tools and technology,Tools and technology,Tools and technology,,Polishing machines,0,Tools and technology
Polishing tools,Tools and technology,Tools and technology,Tools and technology,,Polishing tools,0,Tools and technology
Polishing wheels,Tools and technology,Tools and technology,Tools and technology,,Polishing wheels,0,Tools and technology
Pontoon boats,Tools and technology,Tools and technology,Tools and technology,,Pontoon boats,0,Tools and technology
Portable air compressors,Tools and technology,Tools and technology,Tools and technology,,Portable air compressors,0,Tools and technology
Portable communication devices,Tools and technology,Tools and technology,Tools and technology,,Portable communication devices,0,Tools and technology
Portable grinders,Tools and technology,Tools and technology,Tools and technology,,Portable grinders,0,Tools and technology
Portable pumps,Tools and technology,Tools and technology,Tools and technology,,Portable pumps,0,Tools and technology
Portfolio management software,Tools and technology,Tools and technology,Tools and technology,,Portfolio management software,0,Tech - Software
Portuguese language,Knowledge,Knowledge,Knowledge,,Portuguese language,0,Knowledge
Positioning equipment,Tools and technology,Tools and technology,Tools and technology,,Positioning equipment,0,Tools and technology
Positive train control PTC systems,Tools and technology,Tools and technology,Knowledge,,Positive train control PTC systems,0,Knowledge
Post Offer Employment Testing (POET),Other,?,Other,Physical test - not knowledge based,Post Offer Employment Testing (POET),0,Other
Postage machines,Tools and technology,Tools and technology,Tools and technology,,Postage machines,0,Tools and technology
PostgreSQL,Tools and technology,Tools and technology,Tools and technology,,Planisware,0,Tech - Software
Posting software,Technologies,,Tools and technology,,Posting software,1,Tech - Software
Pot-washing machines,Tools and technology,Tools and technology,Tools and technology,,Pot-washing machines,0,Tools and technology
Power amplifiers,Tools and technology,Tools and technology,Tools and technology,,Power amplifiers,0,Tools and technology
Power analysis software,Tools and technology,Tools and technology,Tools and technology,,Power analysis software,0,Tech - Software
Power augers,Tools and technology,Tools and technology,Tools and technology,,Power augers,0,Tools and technology
Power brakes,Tools and technology,Tools and technology,Tools and technology,,Power brakes,0,Tools and technology
Power drills,Tools and technology,Tools and technology,Tools and technology,,Power drills,0,Tools and technology
Power drivers,Tools and technology,Tools and technology,Tools and technology,,Power drivers,0,Tools and technology
Power generators,Tools and technology,Tools and technology,Tools and technology,,Power generators,0,Tools and technology
Power grinders,Tools and technology,Tools and technology,Tools and technology,,Power grinders,0,Tools and technology
Power jacks,Tools and technology,Tools and technology,Tools and technology,,Power jacks,0,Tools and technology
Power meters,Tools and technology,Tools and technology,Tools and technology,,Power meters,0,Tools and technology
Power mowers,Tools and technology,Tools and technology,Tools and technology,,Power mowers,0,Tools and technology
Power presses,Tools and technology,Tools and technology,Tools and technology,,Power presses,0,Tools and technology
Power rakes,Tools and technology,Tools and technology,Tools and technology,,Power rakes,0,Tools and technology
Power saws,Tools and technology,Tools and technology,Tools and technology,,Power saws,0,Tools and technology
Power shovels,Tools and technology,Tools and technology,Tools and technology,,Power shovels,0,Tools and technology
Power Structure,Tools and technology,Tools and technology,Tools and technology,,Power Structure,0,Tools and technology
Power sweepers,Tools and technology,Tools and technology,Tools and technology,,Power sweepers,0,Tools and technology
Power Tools,Tools and technology,Tools and technology,Tools and technology,,Power Tools,0,Tools and technology
Power transformers,Tools and technology,Tools and technology,Tools and technology,,Power transformers,0,Tools and technology
Power trowels,Tools and technology,Tools and technology,Tools and technology,,Power trowels,0,Tools and technology
Powered industrial trucks,Tools and technology,Tools and technology,Tools and technology,,Powered industrial trucks,0,Tools and technology
Precision Long Line,Skills,added,Skills,,Precision Long Line,0,Skills
Presentation Skills,Skills,Skills,Skills,,Presentation Skills,0,Skills
Presentation software,Tools and technology,Tools and technology,Tools and technology,,Presentation software,0,Tech - Software
Pressing machines,Tools and technology,Tools and technology,Tools and technology,,Pressing machines,0,Tools and technology
Pressure cleaners,Tools and technology,Tools and technology,Tools and technology,,Pressure cleaners,0,Tools and technology
Pressure gauges,Tools and technology,Tools and technology,Tools and technology,,Pressure gauges,0,Tools and technology
Pressure relief valves,Tools and technology,Tools and technology,Tools and technology,,Pressure relief valves,0,Tools and technology
Pressure valves,Tools and technology,Tools and technology,Tools and technology,,Pressure valves,0,Tools and technology
Preventive maintenance software,Tools and technology,Tools and technology,Tools and technology,,Preventive maintenance software,0,Tech - Software
Prezi,Tools and technology,Tools and technology,Tools and technology,,Prezi,0,Tech - Software
Pricing software,Tools and technology,Tools and technology,Tools and technology,,Pricing software,0,Tech - Software
Print servers,Tools and technology,Tools and technology,Tools and technology,,Print servers,0,Tools and technology
Prisms,Tools and technology,Tools and technology,Tools and technology,3d software,Prism,0,Tech - Software
Problem Solving,Skills,Skills,Skills,,Problem Solving,0,Skills
Process control software,Tools and technology,Tools and technology,Tools and technology,,Process control software,0,Tech - Software
Process control system,Tools and technology,Tools and technology,Knowledge,,Process control system,0,Knowledge
Process Failure Mode Effects Analysis (PFMEA),Knowledge,Knowledge,Knowledge,,Process Failure Mode Effects Analysis (PFMEA),0,Knowledge
Process simulation software,Tools and technology,Tools and technology,Tools and technology,,Process simulation software,0,Tech - Software
Product lifecycle management PLM software,Tools and technology,Tools and technology,Tools and technology,,Product lifecycle management PLM software,0,Tech - Software
Product Management,Other,Work activities,Knowledge,Referring to a set up steps and procedures,Product Management,0,Knowledge
Product Realization,Other,?,Knowledge,Referring to a set up steps and procedures,Product Realization,0,Knowledge
Production part approval process (PPAP),Knowledge,Knowledge,Knowledge,,Production part approval process (PPAP),0,Knowledge
Productivity software,Tools and technology,Tools and technology,Tools and technology,,Productivity software,0,Tech - Software
Profilers,Other,?,Tools and technology,"There are tools used in several occupations that contain profiler. Alternatively, skill or knowledge if a 'criminal profiler' - which seems less likely.",Profilers,0,Tools and technology
Program Management,Other,Work activities,Knowledge,Set of procedures,Program Management,0,Knowledge
Programmable logic controller PLC code generation software,Tools and technology,Tools and technology,Tools and technology,,Programmable logic controller PLC software,0,Tech - Software
Programmable logic controller PLC software,Tools and technology,Tools and technology,Tools and technology,,Programmable logic controller PLC software,0,Tech - Software
Programmable logic controllers PLC,Tools and technology,Tools and technology,Tools and technology,,Programmable logic controllers PLC,0,Tools and technology
Project Management,Other,Work activities,Skills,Set of procedures,Project Management,0,Knowledge
Project Management Life Cycle (PMLC),Knowledge,Knowledge,Knowledge,,Project Management Life Cycle (PMLC),0,Knowledge
Project management software,Tools and technology,Tools and technology,Tools and technology,,Project management software,0,Tech - Software
Project planning software,Tools and technology,Tools and technology,Tools and technology,,Project management software,0,Tech - Software
